,test acc,threshold,train acc
0,0.586956521739,0.0,0.649253731343
1,0.586956521739,0.0,0.649253731343
2,0.586956521739,0.0,0.649253731343
3,0.586956521739,0.0,0.649253731343
4,0.586956521739,0.0,0.649253731343
5,0.586956521739,0.0,0.649253731343
6,0.586956521739,0.0,0.649253731343
7,0.586956521739,0.0,0.649253731343
8,0.586956521739,0.0,0.649253731343
9,0.586956521739,0.0,0.649253731343
10,0.586956521739,0.0,0.649253731343
11,0.586956521739,0.0,0.649253731343
12,0.586956521739,0.0,0.649253731343
13,0.586956521739,0.0,0.649253731343
14,0.586956521739,0.0,0.649253731343
15,0.586956521739,0.0,0.649253731343
16,0.586956521739,0.0,0.649253731343
17,0.586956521739,0.0,0.649253731343
18,0.586956521739,0.0,0.649253731343
19,0.586956521739,0.0,0.649253731343
20,0.586956521739,0.0,0.649253731343
21,0.586956521739,0.0,0.649253731343
22,0.586956521739,0.0,0.649253731343
23,0.586956521739,0.0,0.649253731343
24,0.586956521739,0.0,0.649253731343
25,0.586956521739,0.0,0.649253731343
26,0.586956521739,0.0,0.649253731343
27,0.586956521739,0.0,0.649253731343
28,0.586956521739,0.0,0.649253731343
29,0.586956521739,0.0,0.649253731343
30,0.586956521739,0.0,0.649253731343
31,0.586956521739,0.0,0.649253731343
32,0.586956521739,0.0,0.649253731343
33,0.586956521739,0.0,0.649253731343
34,0.586956521739,0.0,0.649253731343
35,0.586956521739,0.0,0.649253731343
36,0.586956521739,0.0,0.649253731343
37,0.586956521739,0.0,0.649253731343
38,0.586956521739,0.0,0.649253731343
39,0.586956521739,0.0,0.649253731343
40,0.586956521739,0.0,0.649253731343
41,0.586956521739,0.0,0.649253731343
42,0.586956521739,0.0,0.649253731343
43,0.586956521739,0.0,0.649253731343
44,0.586956521739,0.0,0.649253731343
45,0.586956521739,0.0,0.649253731343
46,0.586956521739,0.0,0.649253731343
47,0.586956521739,0.0,0.649253731343
48,0.586956521739,0.0,0.649253731343
49,0.586956521739,0.0,0.649253731343
50,0.586956521739,0.0,0.649253731343
51,0.586956521739,0.0,0.649253731343
52,0.586956521739,0.0,0.649253731343
53,0.586956521739,0.0,0.649253731343
54,0.586956521739,0.0,0.649253731343
55,0.586956521739,0.0,0.649253731343
56,0.586956521739,0.0,0.649253731343
57,0.586956521739,0.0,0.649253731343
58,0.586956521739,0.0,0.649253731343
59,0.586956521739,0.0,0.649253731343
60,0.586956521739,0.0,0.649253731343
61,0.586956521739,0.0,0.649253731343
62,0.586956521739,0.0,0.649253731343
63,0.586956521739,0.0,0.649253731343
64,0.586956521739,0.0,0.649253731343
65,0.586956521739,0.0,0.649253731343
66,0.586956521739,0.0,0.649253731343
67,0.586956521739,0.0,0.649253731343
68,0.586956521739,0.0,0.649253731343
69,0.586956521739,0.0,0.649253731343
70,0.586956521739,0.0,0.649253731343
71,0.586956521739,0.0,0.649253731343
72,0.586956521739,0.0,0.649253731343
73,0.586956521739,0.0,0.649253731343
74,0.586956521739,0.0,0.649253731343
75,0.586956521739,0.0,0.649253731343
76,0.586956521739,0.0,0.649253731343
77,0.586956521739,0.0,0.649253731343
78,0.586956521739,0.0,0.649253731343
79,0.586956521739,0.0,0.649253731343
80,0.582608695652,0.00167224078905,0.649253731343
81,0.582608695652,0.00167224078905,0.649253731343
82,0.582608695652,0.00167224078905,0.649253731343
83,0.582608695652,0.00167224078905,0.649253731343
84,0.582608695652,0.0033444815781,0.649253731343
85,0.582608695652,0.0033444815781,0.649253731343
86,0.582608695652,0.0033444815781,0.649253731343
87,0.582608695652,0.0033444815781,0.649253731343
88,0.582608695652,0.0033444815781,0.649253731343
89,0.582608695652,0.0033444815781,0.649253731343
90,0.582608695652,0.0033444815781,0.649253731343
91,0.582608695652,0.0033444815781,0.649253731343
92,0.582608695652,0.0033444815781,0.649253731343
93,0.582608695652,0.0033444815781,0.649253731343
94,0.578260869565,0.00501672225073,0.649253731343
95,0.578260869565,0.00501672225073,0.649253731343
96,0.569565217391,0.00668896315619,0.642469470828
97,0.569565217391,0.00668896315619,0.642469470828
98,0.569565217391,0.00668896315619,0.642469470828
99,0.569565217391,0.00668896315619,0.642469470828
100,0.569565217391,0.00668896315619,0.642469470828
101,0.55652173913,0.008361203596,0.643826322931
102,0.55652173913,0.008361203596,0.643826322931
103,0.55652173913,0.008361203596,0.643826322931
104,0.55652173913,0.008361203596,0.643826322931
105,0.55652173913,0.008361203596,0.643826322931
106,0.55652173913,0.008361203596,0.643826322931
107,0.55652173913,0.0100334445015,0.642469470828
108,0.55652173913,0.0100334445015,0.642469470828
109,0.55652173913,0.0100334445015,0.642469470828
110,0.55652173913,0.0100334445015,0.642469470828
111,0.55652173913,0.0100334445015,0.642469470828
112,0.55652173913,0.0100334445015,0.642469470828
113,0.5,0.0117056854069,0.670284938942
114,0.5,0.0117056854069,0.670284938942
115,0.5,0.0117056854069,0.670284938942
116,0.5,0.0117056854069,0.670284938942
117,0.5,0.0117056854069,0.670284938942
118,0.504347826087,0.0133779263124,0.665535956581
119,0.504347826087,0.0133779263124,0.665535956581
120,0.504347826087,0.0133779263124,0.665535956581
121,0.504347826087,0.0133779263124,0.665535956581
122,0.504347826087,0.0133779263124,0.665535956581
123,0.504347826087,0.0133779263124,0.665535956581
124,0.504347826087,0.0133779263124,0.665535956581
125,0.504347826087,0.0133779263124,0.665535956581
126,0.504347826087,0.0133779263124,0.665535956581
127,0.55652173913,0.0150501672179,0.664179104478
128,0.55652173913,0.0150501672179,0.664179104478
129,0.54347826087,0.016722407192,0.655359565807
